iter,loss1,loss2,total_loss
41.0,-0.9606422846985174,-0.951119387674021,-1.9117616710134748
42.0,-0.9608308120542707,-0.9514420614957033,-1.9122728781125444
43.0,-0.9618341158772136,-0.9523255320247688,-1.9141596485815142
44.0,-0.96209400523369,-0.9523300746947235,-1.9144240800254897
45.0,-0.962675024030263,-0.9525989648379409,-1.915273988674052
46.0,-0.9627728707821439,-0.9535016874731169,-1.9162745600026283
47.0,-0.9635748837980463,-0.954061945117646,-1.9176368280420086
48.0,-0.9641420447088608,-0.9548425809374073,-1.9189846271024076
49.0,-0.9640220148361467,-0.9550974477774157,-1.9191194613515747
50.0,-0.9647437907779643,-0.9556539079071256,-1.9203976994616978
51.0,-0.9649526576848294,-0.9560261213429976,-1.9209787775716876
52.0,-0.9655805387403755,-0.9563160350346022,-1.921896575716497
53.0,-0.9655807838571965,-0.9564857614933474,-1.9220665456417718
54.0,-0.966502485523783,-0.9575598916518183,-1.9240623739720943
55.0,-0.9671530172180275,-0.9584882765134694,-1.9256412949934845
56.0,-0.9669631841904954,-0.9582160028844392,-1.925179189307682
57.0,-0.9674490352406953,-0.9584443904095442,-1.9258934257473153
58.0,-0.9679077801564617,-0.95928809367096,-1.9271958765455488
59.0,-0.9678720875555219,-0.9592595557630644,-1.927131640794611
60.0,-0.9685518178567047,-0.959810708943718,-1.9283625275770306
61.0,-0.968649375419275,-0.9598819666848509,-1.9285313409392142
62.0,-0.9692836491215112,-0.9607104105747484,-1.9299940608611712
63.0,-0.9692873334457509,-0.9606699071800282,-1.9299572399462472
64.0,-0.9686435879441737,-0.9606996955234763,-1.9293432857003974
65.0,-0.9701740341776746,-0.9616675348740059,-1.9318415687604524
66.0,-0.9705862499021164,-0.9621952123673032,-1.9327814598425204
67.0,-0.9707109239862486,-0.9623366370069087,-1.933047561769765
68.0,-0.9707361268492397,-0.9625054914322272,-1.9332416164370236
69.0,-0.9701539690603262,-0.9621076898388443,-1.9322616574430311
70.0,-0.9713268434380087,-0.9630521169897012,-1.9343789619809253
71.0,-0.9718706406871348,-0.9636010329575803,-1.9354716718002718
72.0,-0.9719090864596227,-0.9634054082806801,-1.935314497264278
73.0,-0.9718182989751089,-0.963208066135742,-1.9350263656933067
74.0,-0.9721478847028379,-0.9637095114695521,-1.935857395978238
75.0,-0.9710595579605538,-0.9634856734097198,-1.9345452315644256
76.0,-0.9718506347861274,-0.9641856840456736,-1.9360363172785855
77.0,-0.9721925238250522,-0.9644973127577903,-1.9366898371652983
78.0,-0.9733499552605595,-0.9653371857897854,-1.9386871412444968
79.0,-0.9734694363628226,-0.9653314951965009,-1.938800933500843
80.0,-0.9734787552675129,-0.9654140806353442,-1.9388928349320973
81.0,-0.9732397723858054,-0.9652774700901019,-1.9385172429612871
82.0,-0.9733202435100505,-0.9655159276937428,-1.9388361714950213
83.0,-0.9743292978221508,-0.9662704486217871,-1.94059974615271
84.0,-0.97422487757105,-0.9660295054850438,-1.9402543813087265
85.0,-0.9738950986621434,-0.9663334228705117,-1.9402285229887948
86.0,-0.9734023963783773,-0.965863036701656,-1.9392654352157046
87.0,-0.9746134014199533,-0.9668953393491938,-1.9415087428077424
88.0,-0.9742953844295651,-0.9663890645830173,-1.94068444377048
89.0,-0.9749289883076174,-0.9669841698792547,-1.9419131552745932
90.0,-0.9752143816567399,-0.9674139560628015,-1.9426283380107694
91.0,-0.9750115375371243,-0.9672910122607352,-1.9423025500890874
92.0,-0.9754003766887739,-0.9676555667909815,-1.9430559434797554
93.0,-0.9757163042160121,-0.968008707711285,-1.943725012412677
