iter,loss1,loss2,total_loss,val_loss
45.0,-0.9715469550489239,-0.975879845716815,-1.947426800820299,-1.7880405148058707
46.0,-0.9716099649903341,-0.9760518612049776,-1.947661826215152,-1.8021980014645846
47.0,-0.9716953434582666,-0.9761660237116694,-1.9478613670409752,-1.7896061754339678
48.0,-0.9717730185032645,-0.9763023442363763,-1.9480753632604435,-1.7919101529588444
49.0,-0.9718409476754788,-0.9764947155812145,-1.9483356638717366,-1.7988862505456282
50.0,-0.9719435716117788,-0.9766595122361229,-1.9486030835701402,-1.793568333743308
51.0,-0.9720364234962727,-0.9767822044070513,-1.9488186281314852,-1.8024126038920447
52.0,-0.9720871923836235,-0.9769124407046863,-1.948999632721268,-1.7985422631010626
53.0,-0.9721956573717505,-0.9770610843173396,-1.9492567419122913,-1.8019166915525946
54.0,-0.9722118283197032,-0.977085128286431,-1.9492969563531728,-1.7934377168968767
55.0,-0.9723071461064333,-0.9772891317080904,-1.949596277338361,-1.8025614351834542
56.0,-0.9723831527421803,-0.9774671688625041,-1.949850321897326,-1.7836440257363222
57.0,-0.972443225792068,-0.9775675669569158,-1.9500107926894634,-1.7795329395252004
58.0,-0.9724953670147365,-0.9775603697096993,-1.9500557355538695,-1.802700257226001
59.0,-0.9725732728150717,-0.9777653863706396,-1.9503386587988292,-1.7843341010065064
60.0,-0.9726345487161535,-0.9778615046908516,-1.9504960532532443,-1.7955172316157988
61.0,-0.9726860240204734,-0.9779697022640815,-1.9506557257984725,-1.7982652502790635
62.0,-0.9727500622498867,-0.9780395121545435,-1.9507895744788306,-1.7947989939984175
63.0,-0.9728194911110726,-0.9781521746201018,-1.9509716662073369,-1.7878982305150084
64.0,-0.9728628200818846,-0.9782360006987756,-1.9510988207062598,-1.794541308288514
65.0,-0.9729253261192692,-0.9783707075183697,-1.9512960329878755,-1.7867362127296544
66.0,-0.9729828927732599,-0.9784869719704345,-1.9514698652694573,-1.8036036311544326
67.0,-0.9730208797751245,-0.9785304091888765,-1.9515512889838411,-1.7871959132229172
68.0,-0.9731076475119069,-0.978607194251265,-1.951714841242369,-1.7940584294038926
69.0,-0.9731587972598931,-0.9788007159354911,-1.9519595122926592,-1.7946370680938588
70.0,-0.9731824744250658,-0.9788045870381841,-1.9519870608878869,-1.7888485645230912
71.0,-0.9732284158024324,-0.9788917901066185,-1.952120206295933,-1.7963581285770471
72.0,-0.9732889206177127,-0.9789718928120443,-1.9522608132214359,-1.8003595089083788
