iter,loss1,loss2,total_loss
56.0,-0.9708508038520813,-0.9803760863145192,-1.951226890563965
57.0,-0.9711011932690938,-0.980740048011144,-1.951841241200765
58.0,-0.9709299778938294,-0.9806205843289694,-1.951550562699636
59.0,-0.9710341985225678,-0.980598004023234,-1.951632202943166
60.0,-0.9711639493306478,-0.9810115178426106,-1.952175466219584
61.0,-0.9710403110980987,-0.98076016775767,-1.9518004773457844
62.0,-0.9712659405867259,-0.9812552330493927,-1.95252117506663
63.0,-0.9714481314818064,-0.9812956213156382,-1.9527437547047932
64.0,-0.971411390542984,-0.9814411657651265,-1.9528525578180949
65.0,-0.9713823159535726,-0.9815172132651011,-1.952899530728658
66.0,-0.9716184322834015,-0.9818376216093699,-1.9534560510317485
67.0,-0.9715886898040772,-0.9818052118619283,-1.9533939037322998
68.0,-0.9715880992412567,-0.9817620799541473,-1.9533501796722412
69.0,-0.9716911824544271,-0.9817756586869558,-1.9534668424924215
70.0,-0.9717633692423503,-0.9820567703247071,-1.9538201389312744
71.0,-0.9716378149191538,-0.9820076290766399,-1.953645444393158
72.0,-0.9715550049146017,-0.9820482916037242,-1.9536032973925272
73.0,-0.9717909740606944,-0.9822907382647197,-1.9540817143122355
74.0,-0.9720247288544973,-0.9824095355669658,-1.9544342633883158
75.0,-0.9720552981694539,-0.9826448618570963,-1.9547001608212788
76.0,-0.9720150375366211,-0.9825478782653808,-1.9545629154841104
77.0,-0.9720843670368194,-0.9827798618475596,-1.9548642274538677
78.0,-0.9721019802888234,-0.982688419342041,-1.954790400981903
79.0,-0.9721758500734965,-0.982982001543045,-1.9551578523317972
80.0,-0.9722301954428355,-0.9830278482437134,-1.9552580431302389
81.0,-0.9722452162106832,-0.9831430603663127,-1.9553882746696472
82.0,-0.9722450835704803,-0.9831038993199667,-1.9553489802678425
83.0,-0.9722549774646759,-0.9832158048152924,-1.9554707811673482
84.0,-0.9722130339940389,-0.982919512907664,-1.955132548014323
85.0,-0.9724887691338857,-0.9834534920056661,-1.9559422612190247
86.0,-0.9723890756766002,-0.9833901373545328,-1.95577921183904
87.0,-0.9725076065858205,-0.9835013910134633,-1.956008997440338
88.0,-0.9725776589711507,-0.9835267103513082,-1.9561043690045674
89.0,-0.9725115228494008,-0.9837116812864939,-1.9562232022285462
90.0,-0.9725925192038218,-0.9835072865486145,-1.9560998066266377
91.0,-0.9725901510715484,-0.9836863679091136,-1.9562765237490336
92.0,-0.9726468827724457,-0.9837456641991933,-1.9563925472895305
93.0,-0.9727532845338186,-0.984124420483907,-1.9568777062098186
94.0,-0.9726982590357462,-0.9838563230832418,-1.9565545829137165
